,Type,0
2021-07-01,Building,50.905996627073776
2021-07-01,Hotel,46.30148492202302
2021-07-01,Mall,37.10948216201163
2021-07-01,Market,34.98321084544414
2021-07-01,Terminal,37.33853061062046
2021-08-01,Building,48.96561962814026
2021-08-01,Hotel,45.297668581847084
2021-08-01,Mall,37.83907404033736
2021-08-01,Market,34.53934276134665
2021-08-01,Terminal,37.03337612177167
2021-09-01,Building,44.744501951336865
2021-09-01,Hotel,43.86177910250349
2021-09-01,Mall,36.24147574041856
2021-09-01,Market,33.768167686215115
2021-09-01,Terminal,38.665897784995046
2021-10-01,Building,53.128181611648714
2021-10-01,Hotel,50.161804017133626
2021-10-01,Mall,39.15437870148249
2021-10-01,Market,35.144923933541975
2021-10-01,Terminal,36.84259607714638
2021-11-01,Building,40.628276207539976
2021-11-01,Hotel,40.962852184824456
2021-11-01,Mall,30.37792507295636
2021-11-01,Market,30.250905100746863
2021-11-01,Terminal,23.04849977493286
2021-12-01,Building,27.625104755299095
2021-12-01,Hotel,17.85057480383959
2021-12-01,Mall,18.72842262451248
2021-12-01,Market,14.558908250483908
2021-12-01,Terminal,18.751942107219715
2022-01-01,Building,50.31747475055733
2022-01-01,Hotel,44.337380727132164
2022-01-01,Mall,30.766205126472425
2022-01-01,Market,25.89374852080646
2022-01-01,Terminal,23.063060628777475
2022-02-01,Building,29.449992042674847
2022-02-01,Hotel,40.88743222939403
2022-02-01,Mall,32.7966262863343
2022-02-01,Market,32.155145960776
2022-02-01,Terminal,32.03549976348877
2022-03-01,Building,63.1099998589718
2022-03-01,Hotel,58.19701940152125
2022-03-01,Mall,36.88296635474473
2022-03-01,Market,25.794381155865853
2022-03-01,Terminal,26.228954526107845
2022-04-01,Building,56.56143735931812
2022-04-01,Hotel,52.849678624128416
2022-04-01,Mall,39.75607630433947
2022-04-01,Market,33.80027863838503
2022-04-01,Terminal,35.83272395536816
2022-05-01,Building,68.36664214360962
2022-05-01,Hotel,62.58702777127707
2022-05-01,Mall,42.99676718051265
2022-05-01,Market,40.791931421501324
2022-05-01,Terminal,46.07772359455974
2022-06-01,Building,37.1531450973692
2022-06-01,Hotel,34.13198028907703
2022-06-01,Mall,29.583727901949725
2022-06-01,Market,27.5070633043538
2022-06-01,Terminal,31.231499791145332
